timestamp,vessel_count,mean_sog_knots,stopped_ratio,course_dispersion,traffic_density,position_spread_km
2024-01-10T08:50:00Z,175,0.416927,0.9375,0.8523,0.925926,6.64167
2024-01-10T08:55:00Z,172,0.496458,0.93733,0.835611,0.910053,6.679139
2024-01-10T09:00:00Z,168,0.387949,0.935897,0.792194,0.888889,6.700531
2024-01-10T09:05:00Z,166,0.382692,0.958791,0.745375,0.878307,6.651634
2024-01-10T09:10:00Z,177,0.478611,0.952778,0.699403,0.936508,6.697508
2024-01-10T09:15:00Z,177,0.144361,0.972431,0.725875,0.936508,6.792261
2024-01-10T09:20:00Z,171,0.140642,0.973262,0.761718,0.904762,6.621987
2024-01-10T09:25:00Z,169,0.135775,0.971831,0.813863,0.89418,6.659954
2024-01-10T09:30:00Z,170,0.130256,0.964103,0.784572,0.899471,6.636877
2024-01-10T09:35:00Z,173,0.107388,0.965699,0.81993,0.915344,6.54295
2024-01-10T09:40:00Z,172,0.108815,0.977961,0.760207,0.910053,6.710642
2024-01-10T09:45:00Z,172,0.205685,0.94832,0.748583,0.910053,6.544032
2024-01-10T09:50:00Z,173,0.251832,0.947644,0.744343,0.915344,6.571536
2024-01-10T09:55:00Z,176,0.243396,0.956873,0.781746,0.931217,6.845881
2024-01-10T10:00:00Z,169,0.275504,0.956772,0.742098,0.89418,6.444323
2024-01-10T10:05:00Z,167,0.230352,0.96477,0.759345,0.883598,6.432493
2024-01-10T10:10:00Z,164,0.26393,0.967742,0.771488,0.867725,6.633588
2024-01-10T10:15:00Z,170,0.218306,0.97541,0.751884,0.899471,6.570477
2024-01-10T10:20:00Z,171,0.161559,0.967742,0.78826,0.904762,6.572168
2024-01-10T10:25:00Z,171,0.154294,0.963989,0.760572,0.904762,6.603878
2024-01-10T10:30:00Z,166,0.033962,0.981132,0.706812,0.878307,6.557161
2024-01-10T10:35:00Z,172,0.033514,0.989189,0.713156,0.910053,6.59167
2024-01-10T10:40:00Z,170,0.031844,0.988827,0.701089,0.899471,6.591759
2024-01-10T10:45:00Z,169,0.025668,0.991979,0.707189,0.89418,6.588146
2024-01-10T10:50:00Z,177,0.102338,0.974026,0.718612,0.936508,6.473935
2024-01-10T10:55:00Z,175,0.145924,0.975543,0.727316,0.925926,6.693756
2024-01-10T11:00:00Z,171,0.194928,0.956522,0.70506,0.904762,6.314909
2024-01-10T11:05:00Z,175,0.239418,0.952381,0.729614,0.925926,6.461353
2024-01-10T11:10:00Z,175,0.171698,0.962264,0.79083,0.925926,6.683126
2024-01-10T11:15:00Z,166,0.08946,0.984576,0.719548,0.878307,6.487194
2024-01-10T11:20:00Z,173,0.099476,0.984293,0.730391,0.915344,6.280667
2024-01-10T11:25:00Z,171,0.115616,0.961644,0.737627,0.904762,6.572345
2024-01-10T11:30:00Z,174,0.183673,0.941327,0.702368,0.920635,6.574473
2024-01-10T11:35:00Z,170,0.36114,0.911917,0.74493,0.899471,6.38955
2024-01-10T11:40:00Z,171,0.53252,0.918699,0.781923,0.904762,6.537617
2024-01-10T11:45:00Z,173,0.80646,0.901809,0.791411,0.915344,6.433414
2024-01-10T11:50:00Z,176,0.48342,0.932642,0.772865,0.931217,6.497785
2024-01-10T11:55:00Z,173,0.481694,0.92623,0.750525,0.915344,6.676512
2024-01-10T12:00:00Z,170,0.845966,0.858191,0.696428,0.899471,6.506135
2024-01-10T12:05:00Z,175,0.860574,0.86423,0.7452,0.925926,6.504391
2024-01-10T12:10:00Z,173,1.189153,0.833333,0.80217,0.915344,6.77397
2024-01-10T12:15:00Z,176,1.026566,0.827068,0.827448,0.931217,6.431144
2024-01-10T12:20:00Z,171,0.886005,0.842239,0.783912,0.904762,6.432404
2024-01-10T12:25:00Z,169,0.808108,0.851351,0.774181,0.89418,6.42894
2024-01-10T12:30:00Z,169,0.9625,0.851562,0.792815,0.89418,6.285874
2024-01-10T12:35:00Z,169,0.876579,0.842105,0.830417,0.89418,6.332084
2024-01-10T12:40:00Z,168,0.787297,0.845946,0.929195,0.888889,6.641476
2024-01-10T12:45:00Z,168,0.575916,0.871728,0.879506,0.888889,6.516713
2024-01-10T12:50:00Z,166,0.625798,0.888298,0.882619,0.878307,6.488658
2024-01-10T12:55:00Z,173,0.535405,0.878378,0.823698,0.915344,6.742353
2024-01-10T13:00:00Z,168,0.607711,0.893035,0.837841,0.888889,6.414441
2024-01-10T13:05:00Z,177,0.863224,0.904282,0.830606,0.936508,6.561201
2024-01-10T13:10:00Z,170,0.955914,0.884409,0.880615,0.899471,6.578956
2024-01-10T13:15:00Z,178,1.083373,0.862651,0.831481,0.941799,6.419972
2024-01-10T13:20:00Z,180,0.909466,0.82767,0.722183,0.952381,6.458447
2024-01-10T13:25:00Z,175,0.84,0.835443,0.747365,0.925926,6.571652
2024-01-10T13:30:00Z,178,0.952357,0.826303,0.785754,0.941799,6.475185
2024-01-10T13:35:00Z,175,0.761151,0.83693,0.838771,0.925926,6.424892
2024-01-10T13:40:00Z,177,0.584615,0.835897,0.827363,0.936508,6.433468
2024-01-10T13:45:00Z,173,0.606452,0.836228,0.879314,0.915344,6.305028
2024-01-10T13:50:00Z,174,0.733173,0.819712,0.850458,0.920635,6.530217
2024-01-10T13:55:00Z,165,0.740526,0.815789,0.869594,0.873016,6.548265
2024-01-10T14:00:00Z,178,0.897279,0.802721,0.875904,0.941799,6.448817
2024-01-10T14:05:00Z,173,1.253165,0.83038,0.875334,0.915344,6.432307
2024-01-10T14:10:00Z,176,1.34802,0.814356,0.869742,0.931217,6.637337
2024-01-10T14:15:00Z,177,1.315588,0.853717,0.806752,0.936508,6.338091
2024-01-10T14:20:00Z,172,0.883163,0.862245,0.78865,0.910053,6.378087
2024-01-10T14:25:00Z,171,0.503886,0.917098,0.864626,0.904762,6.586775
2024-01-10T14:30:00Z,175,0.286181,0.927136,0.853199,0.925926,6.467331
2024-01-10T14:35:00Z,174,0.674677,0.886305,0.903176,0.920635,6.353084
2024-01-10T14:40:00Z,176,0.845408,0.890306,0.895381,0.931217,6.633028
2024-01-10T14:45:00Z,168,0.826055,0.903226,0.893767,0.888889,6.563708
2024-01-10T14:50:00Z,173,0.728358,0.905473,0.867893,0.915344,6.603338
2024-01-10T14:55:00Z,173,0.738342,0.880829,0.907145,0.915344,6.638844
2024-01-10T15:00:00Z,173,0.670023,0.894614,0.836726,0.915344,6.490623
2024-01-10T15:05:00Z,179,0.472111,0.904523,0.830696,0.94709,6.649457
2024-01-10T15:10:00Z,181,0.577667,0.903226,0.885914,0.957672,6.821627
2024-01-10T15:15:00Z,177,0.822794,0.921569,0.828098,0.936508,6.657195
2024-01-10T15:20:00Z,177,0.575897,0.923077,0.864033,0.936508,6.564866
2024-01-10T15:25:00Z,171,0.363684,0.928947,0.850334,0.904762,6.681836
2024-01-10T15:30:00Z,181,0.326128,0.933492,0.827817,0.957672,6.607661
2024-01-10T15:35:00Z,174,0.471465,0.914141,0.893837,0.920635,6.510332
2024-01-10T15:40:00Z,172,0.475132,0.904762,0.896814,0.910053,6.677221
2024-01-10T15:45:00Z,177,0.489024,0.909756,0.818943,0.936508,6.4486
2024-01-10T15:50:00Z,176,0.51738,0.88665,0.895603,0.931217,6.402891
2024-01-10T15:55:00Z,179,0.45062,0.905707,0.874715,0.94709,6.590418
2024-01-10T16:00:00Z,175,0.603738,0.906542,0.846223,0.925926,6.275462
2024-01-10T16:05:00Z,176,0.425063,0.908861,0.877126,0.931217,6.475173
2024-01-10T16:10:00Z,177,0.270757,0.932115,0.83593,0.936508,6.527689
2024-01-10T16:15:00Z,183,0.531981,0.923628,0.809349,0.968254,6.53055
2024-01-10T16:20:00Z,180,0.692629,0.933661,0.794143,0.952381,6.6289
2024-01-10T16:25:00Z,178,0.869821,0.895141,0.766472,0.941799,6.601527
2024-01-10T16:30:00Z,175,0.775255,0.910714,0.797497,0.925926,6.422068
2024-01-10T16:35:00Z,178,0.531204,0.933661,0.8664,0.941799,6.710325
